FT		ID		AT		WT		TT
5:15		3		4:12		0:3		0:12
5:21		15		4:45		0:36		0:12
5:24		17		4:48		0:36		0:12
5:24		1		4:5		0:19		1:12
5:24		14		4:44		0:40		0:36
5:28		11		4:38		0:50		0:25
5:41		5		4:17		0:24		1:2
5:41		19		4:50		0:51		0:50
5:42		7		4:21		0:21		1:0
5:49		30		5:35		0:14		0:12
5:54		2		4:9		0:45		1:3
5:55		16		4:46		0:9		0:49
6:7		13		4:44		0:23		0:25
6:13		27		5:23		0:50		0:24
6:20		38		5:54		0:26		0:12
6:26		26		5:21		0:5		1:1
6:26		34		5:48		0:38		0:25
6:27		23		5:13		0:14		0:24
6:33		36		5:52		0:41		0:24
6:33		28		5:28		0:5		0:12
6:34		9		4:33		0:1		1:37
6:40		24		5:15		0:25		0:37
6:40		21		5:0		1:40		0:12
6:42		32		5:44		0:58		0:48
6:53		4		4:17		1:36		1:2
6:53		29		5:33		0:20		0:38
6:53		20		4:55		1:58		0:25
6:58		12		4:43		1:15		0:24
7:3		44		6:9		0:54		0:36
7:6		22		5:8		1:58		0:51
7:6		33		5:46		0:20		0:38
7:11		48		6:18		0:53		0:37
7:11		10		4:34		2:37		0:12
7:12		59		6:48		0:24		0:12
7:19		35		5:51		0:28		1:25
7:22		39		5:54		0:28		1:0
7:22		57		6:39		0:43		0:36
7:24		58		6:43		0:41		0:38
7:25		45		6:9		0:16		0:49
7:31		18		4:50		1:41		1:28
7:31		40		5:58		0:33		1:16
7:31		43		6:3		1:28		0:24
7:31		25		5:17		1:14		0:24
7:37		41		5:58		1:39		0:38
7:37		51		6:27		0:10		0:25
7:37		53		6:31		0:6		0:25
7:38		46		6:14		0:24		1:14
7:39		56		6:35		0:4		0:48
7:47		54		6:31		0:16		0:49
7:47		67		7:10		0:37		0:37
7:48		52		6:28		0:20		1:0
7:50		37		5:52		0:58		1:29
7:50		47		6:14		1:36		0:25
7:50		31		5:40		1:10		0:12
7:50		63		7:4		0:46		0:12
7:51		42		6:1		0:50		1:27
7:51		62		7:0		0:51		0:38
7:52		49		6:23		0:29		1:0
7:57		64		7:5		0:52		0:12
8:0		61		6:56		0:4		1:2
8:4		71		7:28		0:36		0:12
8:5		50		6:26		0:39		1:13
8:5		76		7:44		0:21		0:12
8:10		66		7:9		0:1		0:25
8:18		73		7:34		0:44		0:38
8:22		75		7:44		0:38		0:12
8:23		60		6:52		0:31		0:38
8:31		55		6:35		0:56		1:27
8:33		81		8:2		0:31		0:24
8:35		68		7:15		0:20		1:1
8:38		83		8:6		0:32		0:12
8:41		70		7:24		0:17		0:24
8:48		72		7:30		0:18		0:24
8:53		85		8:12		0:41		0:24
8:58		65		7:5		0:53		1:37
9:1		69		7:20		0:41		0:50
9:2		92		8:35		0:27		0:24
9:3		93		8:40		0:23		0:12
9:5		77		7:45		0:20		1:0
9:21		97		8:55		0:26		0:12
9:21		101		9:4		0:17		0:12
9:27		107		9:15		0:12		0:12
9:30		105		9:13		0:17		0:12
9:30		87		8:19		0:11		0:48
9:34		98		8:57		0:37		0:37
9:39		80		7:58		1:41		0:24
9:39		95		8:48		0:51		0:24
9:43		86		8:15		0:28		1:14
9:52		88		8:23		1:29		0:12
9:54		78		7:51		0:3		2:1
9:54		90		8:27		0:27		1:13
9:54		102		9:6		0:48		0:12
9:54		74		7:39		1:15		1:12
9:59		100		9:4		0:55		0:37
10:0		96		8:53		0:7		1:0
10:13		94		8:45		0:28		1:0
10:17		84		8:9		1:8		1:2
10:17		99		9:2		1:15		0:12
10:30		82		8:2		1:28		1:15
10:30		103		9:7		0:23		0:50
10:43		79		7:56		1:47		1:28
10:43		91		8:30		1:13		0:50
10:53		89		8:26		1:27		1:0
10:56		106		9:14		0:42		1:16
10:56		104		9:10		0:46		0:48
Passengers: 105[NP: 18, SP: 39, WP: 37]
Passenger avg wait time = 0:34
Passenger avg trip time = 0:41
Auto-promoted Passengers: 9%
Busses: 11 [WBus: 6, MBus: 5]
Avg busy time = 16%
Avg utilization = 1.0745%
